SubNo,BlkNo,Trty,Resp,Cor,RT,PFresp,PFno,Congru,Effector,BadSub,Practice,RTinBounds
2,6,2,Z,1,346.025,341.192,1.071,2,1,0,0,1
2,6,2,Z,1,347.073,423.229,1.943,2,1,0,0,1
2,6,2,Z,1,335.671,480.05,1.071,2,1,0,0,1
2,6,4,/,1,325.028,587.556,8.438,2,2,0,0,1
2,7,1,Z,1,315.346,397.355,2.451,1,1,0,0,1
2,7,2,Z,1,347.267,348.934,1.198,2,1,0,0,1
2,7,2,Z,1,302.571,367.338,0.327,2,1,0,0,1
2,7,1,Z,1,302.507,475.502,-1.58,1,1,0,0,1
2,7,1,Z,1,322.003,460.232,1.689,1,1,0,0,1
2,7,1,Z,1,365.578,518.833,2.56,1,1,0,0,1
2,7,1,Z,1,311.19,428.532,0.672,1,1,0,0,1
2,7,1,Z,1,246.066,349.321,2.451,1,1,0,0,1
2,7,2,Z,1,404.071,527.793,-0.454,2,1,0,0,1
2,7,3,/,1,325.479,439.995,4.761,1,2,0,0,1
2,7,4,/,1,361.257,353.46,16.876,2,2,0,0,1
2,7,3,/,1,267.457,367.604,2.555,1,2,0,0,1
2,7,4,/,1,325.172,402.774,1.819,2,2,0,0,1
2,7,3,/,1,265.772,311.88,-0.89,1,2,0,0,1
2,7,2,Z,1,362.207,344.637,-4.902,2,1,0,0,1
2,7,3,/,1,333.114,467.249,2.187,1,2,0,0,1
2,7,3,/,1,302.157,339.606,1.664,1,2,0,0,1
2,7,2,Z,1,343.64,544.398,7.935,2,1,0,0,1
2,7,1,Z,1,315.551,412.353,0.944,1,1,0,0,1
2,7,4,/,1,282.501,346.197,1.916,2,2,0,0,1
2,7,4,/,1,394.59,373.596,1.606,2,2,0,0,1
2,7,3,/,1,275.403,441.03,2.206,1,2,0,0,1
2,7,1,Z,1,299.619,424.816,0.381,1,1,0,0,1
2,7,1,Z,1,287.444,366.274,1.18,1,1,0,0,1
2,7,4,/,1,296.42,397.98,2.342,2,2,0,0,1
2,7,1,Z,1,295.349,429.403,-0.381,1,1,0,0,1
2,7,4,/,1,299.78,522.754,1.316,2,2,0,0,1
2,7,2,Z,1,345.718,477.573,-0.345,2,1,0,0,1
2,7,3,/,1,374.515,419.623,1.935,1,2,0,0,1
2,7,4,/,1,355.684,449.564,1.045,2,2,0,0,1
2,7,2,Z,1,413.152,446.105,0.309,2,1,0,0,1
2,7,4,/,1,331.291,508.065,1.935,2,2,0,0,1
2,7,2,Z,1,516.376,585.504,1.108,2,1,0,0,1
2,7,3,/,1,423.952,424.344,1.703,1,2,0,0,1
2,7,4,/,1,347.332,486.15,-3.832,2,2,0,0,1
2,7,3,/,1,265.54,403.01,1.819,1,2,0,0,1
2,7,4,/,1,301.82,423.164,2.38,2,2,0,0,1
2,7,2,Z,1,326.153,524.949,-2.615,2,1,0,0,1
2,7,2,Z,1,616.016,335.812,3.995,2,1,0,0,1
2,7,3,/,1,520.091,506.032,3.6,1,2,0,0,1
2,8,1,Z,1,532.379,352.494,27.145,1,1,0,0,1
2,8,2,Z,1,328.885,300.493,1.325,2,1,0,0,1
2,8,2,Z,1,335.282,359.074,-0.182,2,1,0,0,1
2,8,1,Z,1,307.138,446.821,0.635,1,1,0,0,1
2,8,3,/,1,263.798,399.106,1.084,1,2,0,0,1
2,8,3,/,1,259.507,453.123,1.026,1,2,0,0,1
2,8,2,Z,1,271.635,413.785,1.162,2,1,0,0,1
2,8,1,Z,1,284.568,401.477,-1.598,1,1,0,0,1
2,8,4,/,1,321.147,300.133,1.2,2,2,0,0,1
2,8,3,/,1,283.545,329.692,1.181,1,2,0,0,1
2,8,1,Z,1,372.302,434.706,0.908,1,1,0,0,1
2,8,1,Z,1,317.754,452.394,1.235,1,1,0,0,1
2,8,4,/,1,406.044,428.466,1.761,2,2,0,0,1
2,8,3,/,1,306.407,414.249,2.109,1,2,0,0,1
2,8,2,Z,1,336.492,341.986,1.925,2,1,0,0,1
2,8,1,Z,1,279.092,530.367,1.217,1,1,0,0,1
2,8,1,Z,1,253.701,550.165,1.489,1,1,0,0,1
2,8,2,Z,1,257.581,563.248,1.87,2,1,0,0,1
2,8,3,/,1,429.135,403.101,1.916,1,2,0,0,1
2,8,2,Z,1,314.704,513.627,1.325,2,1,0,0,1
2,8,3,/,1,297.679,349.265,0.929,1,2,0,0,1
2,8,4,/,1,338.6,387.431,1.161,2,2,0,0,1
2,8,4,/,1,340.32,432.733,2.419,2,2,0,0,1
2,8,2,Z,1,302.55,369.699,-2.161,2,1,0,0,1
2,8,4,/,1,321.067,436.073,0.735,2,2,0,0,1
2,8,4,/,1,357.451,334.377,1.219,2,2,0,0,1
2,8,1,Z,1,306.74,436.757,2.814,1,1,0,0,1
2,8,1,Z,1,350.025,441.344,-0.635,1,1,0,0,1
2,8,3,/,1,276.043,407.222,2.129,1,2,0,0,1
2,8,2,Z,1,348.779,414.792,-2.015,2,1,0,0,1
2,8,4,/,1,388.438,361.884,1.51,2,2,0,0,1
2,8,4,/,1,362.967,494.448,1.529,2,2,0,0,1
2,8,3,/,1,339.803,505.85,2.206,1,2,0,0,1
2,8,3,/,1,294.12,442.12,2.168,1,2,0,0,1
2,8,4,/,1,357.375,469.3,2.903,2,2,0,0,1
2,8,1,Z,1,335.288,371.344,1.634,1,1,0,0,1
2,8,3,/,1,344.164,440.159,2.458,1,2,0,0,1
2,8,2,Z,1,320.079,443.898,-0.436,2,1,0,0,1
2,9,2,Z,1,416.692,339.218,1.235,2,1,0,0,1
2,9,4,/,1,380.828,457.117,2.477,2,2,0,0,1
2,9,4,/,1,310.758,415.32,1.471,2,2,0,0,1
2,9,4,/,1,329.1,485.841,1.703,2,2,0,0,1
2,9,2,Z,1,349.002,545.617,-1.38,2,1,0,0,1
2,9,4,/,1,381.668,467.848,1.451,2,2,0,0,1
2,9,2,Z,1,396.833,410.128,1.453,2,1,0,0,1
2,9,1,Z,1,376.931,578.711,0.654,1,1,0,0,1
2,9,3,/,1,313.828,545.777,0.716,1,2,0,0,1
2,9,2,Z,1,365.726,401.38,1.471,2,1,0,0,1
