SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
3,8,4,/,1,400.798,2
3,8,3,/,1,786.615,1
3,9,3,/,1,330.438,1
3,9,1,Z,1,350.68,1
3,9,3,/,1,629.632,1
3,9,2,Z,1,525.24,2
3,9,2,Z,1,354.778,2
3,9,4,/,1,402.173,2
3,9,2,Z,1,841.039,2
3,9,3,/,1,294.692,1
3,9,3,/,1,399.496,1
3,9,3,/,1,389.471,1
3,9,4,/,1,382.085,2
3,9,4,/,1,291.921,2
3,9,1,Z,1,386.82,1
3,9,4,/,1,333.985,2
3,9,1,Z,1,519.518,1
3,9,4,/,1,351.984,2
3,9,3,/,1,812.464,1
3,9,4,/,1,933.363,2
3,9,1,Z,1,422.712,1
3,9,1,Z,1,710.519,1
3,9,2,Z,1,557.013,2
3,9,1,Z,1,674.69,1
3,9,4,/,1,389.732,2
3,9,3,/,1,765.611,1
3,9,4,/,1,326.468,2
3,9,4,/,1,624.548,2
3,9,4,/,1,367.17,2
3,9,3,/,1,470.574,1
3,9,1,Z,1,286.7,1
3,9,1,Z,1,464.712,1
3,9,1,Z,1,461.413,1
3,9,2,Z,1,399.179,2
3,9,3,/,1,275.636,1
3,9,1,Z,1,247.416,1
3,9,2,Z,1,358.624,2
3,9,2,Z,1,380.621,2
3,9,2,Z,1,373.224,2
3,9,2,Z,1,301.171,2
3,9,3,/,1,235.549,1
3,10,4,/,1,471.654,2
3,10,2,Z,1,444.538,2
3,10,1,Z,1,836.394,1
3,10,1,Z,1,767.94,1
3,10,3,/,1,443.04,1
3,10,1,Z,1,555.091,1
3,10,1,Z,1,615.304,1
3,10,3,/,1,452.399,1
3,10,4,/,1,288.258,2
3,10,4,/,1,295.897,2
3,10,2,Z,1,341.055,2
3,10,2,Z,1,424.493,2
3,10,1,Z,1,461.012,1
3,10,3,/,1,247.434,1
3,10,3,/,1,276.98,1
3,10,3,/,1,470.779,1
3,10,2,Z,1,367.667,2
3,10,3,/,1,294.574,1
3,10,3,/,1,301.494,1
3,10,1,Z,1,328.646,1
3,10,3,/,1,276.499,1
3,10,1,Z,1,435.639,1
